4,mirrored,1,smoc1,9.979,7100,12388,125876,136156,81132,3536,158240
4,mirrored,1,smoc2,10.062,6180,11752,98536,119476,69404,3559,158240
4,mirrored,1,smoc3,9.037,10060,10600,105884,112812,65720,3535,158560
4,mirrored,1,smoc4,10.037,11464,11004,117452,138884,86800,3560,158560
4,mirrored,1,smoc5,5.264,11716,8124,68100,61492,49104,3558,230400
4,mirrored,2,smoc1,9.315,13684,11780,119684,137980,69732,3557,160080
4,mirrored,2,smoc2,9.18,13916,11340,114000,119540,58772,3537,160080
4,mirrored,2,smoc3,9.196,13684,13204,89684,107064,57908,3557,156720
4,mirrored,2,smoc4,8.592,9204,10520,77964,87576,55812,3534,156720
4,mirrored,2,smoc5,5.213,11932,5076,52592,41736,63484,3544,230400
4,mirrored,3,smoc1,9.056,8704,10080,54992,75256,41464,3559,158960
4,mirrored,3,smoc2,8.497,7296,11472,116988,128052,70668,3538,158960
4,mirrored,3,smoc3,8.397,9168,10644,131616,140088,76120,3534,157840
4,mirrored,3,smoc4,8.923,12596,11368,97360,117908,70508,3559,157840
4,mirrored,3,smoc5,5.327,5568,3808,70984,65264,49420,3559,230400
4,mirrored,4,smoc1,8.648,6276,10096,69188,82328,47632,3537,159840
4,mirrored,4,smoc2,8.22,13916,11780,102264,111792,61648,3540,159840
4,mirrored,4,smoc3,9.259,10016,12312,102816,114352,61596,3539,156960
4,mirrored,4,smoc4,9.358,8972,12972,75456,98364,51820,3559,156960
4,mirrored,4,smoc5,5.157,19068,19068,69384,70204,87552,3547,230400
4,mirrored,5,smoc1,8.65,13132,16400,123732,135256,78620,3541,160200
4,mirrored,5,smoc2,9.163,9912,10776,74424,87240,53932,3540,160200
4,mirrored,5,smoc3,8.712,13916,12012,88944,97100,93400,3540,156600
4,mirrored,5,smoc4,8.066,4504,9028,81000,94844,56784,3541,156600
4,mirrored,5,smoc5,5.551,21288,15268,70260,70168,77488,3547,230400
4,mirrored,6,smoc1,8.992,12672,12600,127408,148700,93624,3558,156640
4,mirrored,6,smoc2,8.644,5100,9848,99308,117720,64220,3543,156640
4,mirrored,6,smoc3,8.772,12504,13036,70356,80920,55204,3534,160160
4,mirrored,6,smoc4,8.56,11636,12024,81108,88340,55104,3533,160160
4,mirrored,6,smoc5,5.389,7912,3728,39804,32680,47320,3558,230400
4,mirrored,7,smoc1,9.382,11040,10520,120840,127112,65080,3535,160400
4,mirrored,7,smoc2,9.203,13500,12136,97464,103828,64104,3538,160400
4,mirrored,7,smoc3,9.367,13064,9752,75888,96704,81120,3553,156400
4,mirrored,7,smoc4,9.162,9148,11628,106132,130004,71720,3553,156400
4,mirrored,7,smoc5,5.328,12860,8608,66200,63104,70880,3547,230400
4,mirrored,8,smoc1,9.2,7012,9388,79472,104988,51916,3556,156840
4,mirrored,8,smoc2,8.504,13732,12368,89040,99024,64468,3536,156840
4,mirrored,8,smoc3,9.142,13732,12860,102640,116292,68544,3555,159960
4,mirrored,8,smoc4,8.71,9104,9688,91740,109924,72692,3556,159960
4,mirrored,8,smoc5,5.213,7768,772,49048,46288,47272,3532,230400
4,mirrored,9,smoc1,9.57,10172,12780,50328,75344,47912,3560,158000
4,mirrored,9,smoc2,9.333,8724,9848,61784,84616,47968,3557,158000
4,mirrored,9,smoc3,9.138,12780,11020,77652,89308,45012,3536,158800
4,mirrored,9,smoc4,9.29,10748,10668,123468,145464,69016,3556,158800
4,mirrored,9,smoc5,4.799,8476,6884,75444,71228,54028,3535,230400
4,mirrored,10,smoc1,8.573,12016,10368,112840,131776,76056,3552,159560
4,mirrored,10,smoc2,8.212,7472,10636,82024,96048,54936,3551,159560
4,mirrored,10,smoc3,8.626,6992,10196,70528,94248,69360,3559,157240
4,mirrored,10,smoc4,8.389,10916,10852,122416,130144,65576,3535,157240
4,mirrored,10,smoc5,5.610,3192,6044,114100,121784,174264,3558,230400
4,conventional,1,smoc1,8.595,12668,11984,131916,138544,78996,3534,230400
4,conventional,1,smoc2,8.948,6672,9736,81928,90008,59116,3539,230400
4,conventional,1,smoc3,8.525,8208,10044,103840,119388,66152,3536,230400
4,conventional,1,smoc4,8.504,12436,12448,84448,97224,57704,3540,230400
4,conventional,1,smoc5,7.081,9088,7948,104364,103164,117600,3545,230400
